"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"club_staff","last_name","text","NULL","null","","null","null","11","0","","0",""
"club_staff","email","text","NULL","null","","null","null","11","0","","0",""
"club_staff","phone_number","text","NULL","null","","null","null","11","0","","0",""
"club_staff","address","text","NULL","null","","null","null","11","0","","0",""
"club_staff","city","text","NULL","null","","null","null","11","0","","0",""
"club_staff","country","text","NULL","null","","null","null","11","0","","0",""
"club_staff","photo","text","NULL","null","","null","null","11","0","","0",""
"club_staff","role","text","NULL","null","","null","null","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"club_staff","club_id","uuid","NULL","null","","clubs","club_id","11","0","","0",""
"clubs","club_id","uuid","NOT NULL","null","PK","null","null","7","0","","0",""
"clubs","club_name","text","NULL","null","","null","null","7","0","","0",""
"clubs","logo","text","NULL","null","","null","null","7","0","","0",""
"clubs","address","text","NULL","null","","null","null","7","0","","0",""
"clubs","city","text","NULL","null","","null","null","7","0","","0",""
"clubs","country","text","NULL","null","","null","null","7","0","","0",""
"clubs","established_date","date","NULL","null","","null","null","7","0","","0",""
"coaches","coach_id","uuid","NOT NULL","null","PK","profiles","id","11","0","","1","set_coach_code"
"coaches","first_name","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","last_name","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","email","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","phone_number","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","address","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","city","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","country","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","photo","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"coaches","profile_id","uuid","NULL","null","","profiles","id","11","0","","1","set_coach_code"
"coaches","coach_code","text","NULL","null","","null","null","11","0","","1","set_coach_code"
"competition_records","competition_id","uuid","NOT NULL","null","PK","null","null","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","athlete_id","uuid","NULL","null","","athletes","athlete_id","15","0","","0",""
"competition_records","competition_date","date","NULL","null","","null","null","15","0","","0",""
"competition_records","competition_name","text","NULL","null","","null","null","15","0","","0",""
"competition_records","distance","integer","NULL","null","","null","null","15","0","","0",""
"competition_records","qualification_score","integer","NULL","null","","null","null","15","0","","0",""
"competition_records","qualification_rank","integer","NULL","null","","null","null","15","0","","0",""
"competition_records","elimination_result","text","NULL","null","","null","null","15","0","","0",""
"competition_records","final_rank","integer","NULL","null","","null","null","15","0","","0",""
"competition_records","location","text","NULL","null","","null","null","15","0","","0",""
"competition_records","competition_type","text","NULL","null","","null","null","15","0","","0",""
"competition_records","environment","text","NULL","null","","null","null","15","0","","0",""
"competition_records","bow_type","text","NULL","null","","null","null","15","0","","0",""
"competition_records","logo","text","NULL","null","","null","null","15","0","","0",""
"competition_records","age_group_id","uuid","NULL","null","","age_groups","age_group_id","15","0","","0",""
"competition_records","age_group_id","uuid","NULL","null","","age_groups","age_group_id","15","0","","0",""
"competition_records","age_group_id","uuid","NULL","null","","age_groups","age_group_id","15","0","","0",""
